,score_TextBlob,Nasdaq Trend,LM_test
0,0.05347303681981101,0.0,-0.47368421052631576
1,0.014279188948306603,0.0,-0.7083333333333334
2,-0.02193592171717172,0.0,-0.6666666666666666
3,-0.005654761904761893,0.0,-0.6551724137931034
4,0.08924635241301908,0.0,-0.5333333333333333
5,0.051952705627705625,1.0,-0.8604651162790697
6,0.008367656153370436,1.0,-0.7674418604651163
7,0.05125744625744624,0.0,-0.5348837209302325
8,0.04868305698494376,0.0,-0.47368421052631576
9,0.027101578362640315,1.0,-0.6078431372549019
10,0.05270219767312791,0.0,-0.4074074074074074
11,0.03613265207015208,0.0,-0.5510204081632653
12,0.04158551569442659,0.0,-0.7358490566037735
13,0.018884845996914958,1.0,-0.6071428571428571
16,0.06815679315679317,1.0,-0.6086956521739131
17,0.05545652604476132,1.0,-0.6078431372549019
14,-0.007044011544011552,1.0,-0.6842105263157895
15,0.05720951006665294,1.0,-0.5789473684210527
18,0.002848845598845598,0.0,-0.6521739130434783
19,0.12867798353909468,1.0,-0.4482758620689655
20,0.05672459893048128,1.0,-0.5862068965517241
21,-0.021140671103357666,1.0,-0.72
22,0.025569741819741813,1.0,-0.68
23,-0.0013305591122492553,0.0,-0.6666666666666666
25,-0.019109733700642798,0.0,-0.39285714285714285
24,0.06678514739229024,0.0,-0.16279069767441862
37,0.02656918017383134,0.0,-0.42857142857142855
45,0.004629629629629626,0.0,-0.6363636363636364
43,0.0032647907647907664,0.0,-0.8095238095238095
42,0.006575396825396824,0.0,-0.3939393939393939
41,0.03726053639846743,0.0,-0.7647058823529411
40,-0.013266178266178258,0.0,-0.7419354838709677
39,0.006058573664207471,0.0,-0.7
38,0.07960526315789473,0.0,-0.5555555555555556
36,-0.06481481481481481,0.0,-1.0
44,-0.04252240143369175,0.0,-0.6129032258064516
34,0.00392740429505136,0.0,-0.6744186046511628
33,0.01113027096360429,0.0,-0.9166666666666666
32,0.11537190082644627,0.0,-0.6
31,-0.020547385620915043,0.0,-0.45454545454545453
30,0.045122373286435785,0.0,-0.44
29,0.026322751322751328,0.0,-0.6666666666666666
28,0.0021612811791383232,0.0,-0.5555555555555556
27,-0.01660949113779302,0.0,-0.75
35,-0.02274691358024692,0.0,-0.5384615384615384
26,0.04522472625413802,0.0,-0.5555555555555556
55,0.012943417223078242,1.0,-0.6444444444444445
54,-0.004009009009009009,1.0,-0.7777777777777778
53,-0.0076090169992609,1.0,-0.8095238095238095
52,0.1093073593073593,1.0,-0.6
51,0.004971023600055855,1.0,-0.42857142857142855
